model,weight
Thermonet_v2.csv,0.3401295517148281
Rosetta_Energy.csv,0.2399790658503399
RMSD.csv,0.1839930766674853
RSASA_wt.csv,0.18298474389904146
pLDDT_diff.csv,0.15100091086119
DeMask_log2f_var.csv,0.1385948484969039
sdm.csv,0.11145006623852216
gemme.csv,0.07783690067380736
RASP.csv,0.06376950635138788
ESM_entropy.csv,0.05294994677376908
blosum_100.csv,0.010100000000000452
ESM_finetune.csv,0.009897030296990517
pLDDT.csv,0.009698119782081589
residue_depth_wt.csv,-0.009697149970102511
SASA_wtmut.csv,-0.009899009999999557
inps_3d.csv,-0.02938236440941147
SA_sidechain.csv,-0.0435626458737193
ESM.csv,-0.05994333597030369
duet.csv,-0.06473055644077984
XGB_v1.csv,-0.0837529634244643
DeMask_entropy.csv,-0.08772747181477931
Thermonet_v1.csv,-0.09054440898314388
SASA_wt.csv,-0.093143860719644
